Rank,Team,GP,W,D,L,GF,GA,GD,Pts
1,Manchester City,19,18,0,1,57,12,45,54
2,Liverpool,19,17,2,0,55,10,45,53
3,Arsenal,19,14,3,2,42,16,26,45
4,Chelsea,19,12,6,1,39,12,27,42
5,Tottenham,19,12,2,5,34,16,18,38
6,Manchester Utd,19,10,6,3,33,25,8,36
7,Everton,19,10,4,5,30,21,9,34
8,Wolverhampton,19,10,4,5,28,21,7,34
9,West Ham Utd,19,9,4,6,32,27,5,31
10,Bournemouth,19,8,5,6,30,25,5,29
11,Leicester City,19,8,3,8,24,20,4,27
12,Watford,19,8,3,8,26,28,-2,27
13,Newcastle Utd,19,8,1,10,24,25,-1,25
14,Southampton,19,5,8,6,27,30,-3,23
15,Burnley,19,7,2,10,24,32,-8,23
16,Brighton,19,6,5,8,19,28,-9,23
17,Fulham,19,6,3,10,22,36,-14,21
18,Crystal Palace,19,5,5,9,19,23,-4,20
19,Cardiff City,19,6,2,11,21,38,-17,20
20,Huddersfield,19,2,3,14,10,31,-21,9